fast,slow,confirm_n,sl_value,tp_value,num_trades,win_rate_pct,total_return_pct,profit_factor,expectancy_per_trade,sharpe,sortino,max_drawdown_pct,long_trades,short_trades,final_cash
100,200,1,0.6,2.0,254.0,32.677165354330704,-38.492269537064885,0.6649914111092988,-15.154436825616097,-5.331330371894836,-4.9865930340603235,44.02600462887412,254.0,0.0,6150.7730462935115
100,150,1,0.6,2.0,285.0,32.98245614035088,-41.11253862689814,0.6774164157325996,-14.425452149788827,-5.555749618603066,-5.3334886241425385,46.37590704293931,285.0,0.0,5888.746137310186
50,200,3,0.6,2.0,246.0,32.113821138211385,-39.01253127620685,0.6483524314079678,-15.858752551303644,-5.556924394105273,-5.107625756905764,43.90409875758509,246.0,0.0,6098.7468723793145
100,150,3,0.6,1.5,247.0,40.48582995951417,-34.4589759114319,0.6532035445498954,-13.951002393292264,-5.635800376854197,-4.719310926688223,38.05729100149082,247.0,0.0,6554.10240885681
100,150,3,0.4,3.0,252.0,25.793650793650798,-34.218926306733955,0.6366841035998027,-13.5789390106087,-5.713951117834607,-4.626288591280988,38.37465356743008,252.0,0.0,6578.107369326604
100,150,5,0.4,3.0,236.0,25.423728813559322,-33.37214834636069,0.6221780751105648,-14.140740824729127,-5.758471999210866,-4.579718893714087,37.94132474556528,236.0,0.0,6662.785165363931
50,200,5,0.4,3.0,298.0,26.174496644295303,-37.951033884809625,0.6559541178176189,-12.73524627007043,-5.823072865000161,-5.149252840903957,43.57345420710162,298.0,0.0,6204.896611519037
100,200,3,0.6,1.5,258.0,40.310077519379846,-36.12673598041904,0.6492001390625194,-14.002610845123646,-5.881518600131435,-4.902909201720006,40.06612220477431,258.0,0.0,6387.326401958096
100,200,5,0.6,1.5,250.0,40.0,-35.97305172851865,0.6420179853465351,-14.389220691407441,-6.02014123100095,-5.023899430185344,39.921916988603975,250.0,0.0,6402.694827148135
50,200,5,0.6,1.5,294.0,40.476190476190474,-39.57596176599962,0.6607663570131758,-13.461211485033918,-6.022305849045461,-5.427979722729291,44.91508704942257,294.0,0.0,6042.403823400037
100,200,5,0.4,3.0,251.0,25.099601593625497,-35.91352521750183,0.6148148393396531,-14.308177377490871,-6.083037086312603,-4.940512468729708,40.63953017286377,251.0,0.0,6408.647478249817
100,200,3,0.4,3.0,267.0,25.468164794007492,-36.727992213751584,0.6240988932913717,-13.755802327247745,-6.11241331322222,-4.965228340844944,41.39393395955728,267.0,0.0,6327.200778624841
50,200,3,0.4,3.0,306.0,25.816993464052292,-39.80418290135549,0.6448151870576408,-13.007902908939736,-6.14329118885217,-5.446989386006899,45.25868286937049,306.0,0.0,6019.581709864451
50,150,5,0.4,3.0,303.0,25.742574257425744,-39.719292661441145,0.6428929114218498,-13.10867744602018,-6.156496097248951,-5.441962080247222,45.1814691993394,303.0,0.0,6028.070733855886
20,200,5,0.6,2.0,290.0,32.068965517241374,-44.34121709674519,0.6599544820402813,-15.290074860946675,-6.187782113777499,-6.000495143744865,51.64783381460987,290.0,0.0,5565.878290325481
50,200,3,0.6,1.5,305.0,40.32786885245901,-41.11407860270974,0.6552284548066196,-13.48002577138026,-6.223673812389027,-5.592523926061182,46.31729450520953,305.0,0.0,5888.592139729027
